Postcode,Population
800,6464
810,33302
812,18873
815,292
820,19447
822,25560
828,1201
829,1839
830,18207
832,15570
834,1836
835,5132
836,7756
837,412
838,818
839,548
840,363
841,696
845,507
846,353
847,328
850,8138
852,8299
853,857
854,871
860,2991
862,765
870,19628
872,15469
873,2436
874,553
875,2371
880,5214
885,873
886,1081
2000,27411
2007,8845
2008,11712
2009,12813
2010,27734
2011,21196
2015,9918
2016,13213
2017,24695
2018,17028
2019,10838
2020,14772
2021,15313
2022,12507
2023,10716
2024,11073
2025,7405
2026,32490
2027,8195
2028,4642
2029,9961
2030,14079
2031,34726
2032,16689
2033,11570
2034,20713
2035,34490
2036,30407
2037,16115
2038,9451
2039,8725
2040,22242
2041,15690
2042,19129
2043,8014
2044,7846
2045,6457
2046,26822
2047,11950
2048,7938
2049,11282
2050,8963
2052,3425
2060,13988
2061,5943
2062,7006
2063,6347
2064,9523
2065,30119
2066,31626
2067,26403
2068,16813
2069,14253
2070,13505
2071,13545
2072,7668
2073,16352
2074,22258
2075,20451
2076,24648
2077,37791
2079,7095
2080,1708
2081,5369
2082,5397
2083,1519
2084,3625
2085,11624
2086,13414
2087,12798
2088,28475
2089,11918
2090,13724
2092,7139
2093,22873
2094,5840
2095,15866
2096,14657
2097,15529
2099,39925
2100,20911
2101,19395
2102,7501
2103,10670
2104,3620
2105,1848
2106,9301
2107,14669
2108,1673
2109,3086
2110,10343
2111,14412
2112,32852
2113,18371
2114,24057
2115,10737
2116,6642
2117,21285
2118,24341
2119,11643
2120,20208
2121,28214
2122,31160
2125,16374
2126,18765
2127,14532
2128,4166
2130,7311
2131,23841
2132,10612
2133,11012
2134,16033
2135,25251
2136,7364
2137,26507
2138,20023
2140,16167
2141,28675
2142,26292
2143,8921
2144,37366
2145,79211
2146,17465
2147,36341
2148,63071
2150,31500
2151,21306
2152,11215
2153,56562
2154,39594
2155,55452
2156,12942
2157,3741
2158,8575
2159,4975
2160,35973
2161,31418
2162,18622
2163,9590
2164,19624
2165,42444
2166,52762
2167,9633
2168,43451
2170,105451
2171,34866
2172,2781
2173,14433
2174,2267
2175,1837
2176,47809
2177,15979
2178,4230
2179,6530
2190,25566
2191,6322
2192,12718
2193,15256
2194,24541
2195,27154
2196,31815
2197,9069
2198,9038
2199,18013
2200,43687
2203,13707
2204,26502
2205,19447
2206,19404
2207,28534
2208,12446
2209,15769
2210,30586
2211,16846
2212,15847
2213,21784
2214,3952
2216,28067
2217,26843
2218,16431
2219,13200
2220,32487
2221,16481
2222,12786
2223,20910
